Time [s],Value,Parity Error,Framing Error
0.013190000,0x02,,
0.013277000,0x81,,
0.013365000,0x00,,
0.013452000,0x83,,
0.018566000,0x04,,
0.018653000,0x82,,
0.018739000,0x00,,
0.018826000,0x77,,
0.018913000,0x00,,
0.019000000,0xFD,,
0.075502000,0x0B,,
0.075590000,0x11,,
0.075677000,0x00,,
0.075765000,0x00,,
0.075853000,0x00,,
0.075940000,0x00,,
0.076028000,0x14,,
0.076115000,0x02,,
0.076202000,0x01,,
0.076290000,0x46,,
0.076378000,0x4D,,
0.076465000,0x32,,
0.076553000,0xF8,,
0.078761000,0x02,,
0.078847000,0xFF,,
0.078935000,0x00,,
0.079021000,0x01,,
0.083918000,0x08,,
0.084006000,0x11,,
0.084093000,0x00,,
0.084181000,0x00,,
0.084268000,0x00,,
0.084356000,0x03,,
0.084443000,0x59,,
0.084531000,0x03,,
0.084618000,0x00,,
0.084706000,0x78,,
0.088728000,0x02,,
0.088815000,0xFF,,
0.088902000,0x00,,
0.088988000,0x01,,
0.093232000,0x08,,
0.093319000,0x11,,
0.093407000,0x00,,
0.093494000,0x00,,
0.093582000,0x00,,
0.093669000,0x03,,
0.093757000,0x4E,,
0.093844000,0x03,,
0.093932000,0x00,,
0.094019000,0x6D,,
0.098739000,0x02,,
0.098826000,0xFF,,
0.098912000,0x00,,
0.098999000,0x01,,
0.103236000,0x08,,
0.103324000,0x11,,
0.103411000,0x00,,
0.103498000,0x00,,
0.103586000,0x00,,
0.103673000,0x03,,
0.103761000,0x53,,
0.103848000,0x03,,
0.103936000,0x00,,
0.104024000,0x72,,
0.108732000,0x02,,
0.108819000,0xFF,,
0.108906000,0x00,,
0.108993000,0x01,,
0.113243000,0x08,,
0.113331000,0x11,,
0.113418000,0x00,,
0.113505000,0x00,,
0.113593000,0x00,,
0.113680000,0x03,,
0.113768000,0x34,,
0.113855000,0x03,,
0.113943000,0x00,,
0.114031000,0x53,,
0.118743000,0x02,,
0.118830000,0xFF,,
0.118917000,0x00,,
0.119003000,0x01,,
0.123278000,0x08,,
0.123366000,0x11,,
0.123453000,0x00,,
0.123541000,0x00,,
0.123628000,0x00,,
0.123715000,0x03,,
0.123803000,0x55,,
0.123890000,0x03,,
0.123978000,0x00,,
0.124066000,0x74,,
0.128771000,0x02,,
0.128858000,0xFF,,
0.128945000,0x00,,
0.129032000,0x01,,
0.133250000,0x08,,
0.133338000,0x11,,
0.133425000,0x00,,
0.133513000,0x00,,
0.133600000,0x00,,
0.133688000,0x03,,
0.133775000,0x35,,
0.133863000,0x03,,
0.133950000,0x00,,
0.134038000,0x54,,
0.138826000,0x02,,
0.138912000,0xFF,,
0.138999000,0x00,,
0.139086000,0x01,,
0.143251000,0x12,,
0.143338000,0x11,,
0.143426000,0x00,,
0.143514000,0x00,,
0.143601000,0x00,,
0.143689000,0x00,,
0.143776000,0x0E,,
0.143864000,0x02,,
0.143951000,0x02,,
0.144039000,0x31,,
0.144126000,0x30,,
0.144214000,0x36,,
0.144302000,0x2E,,
0.144389000,0x37,,
0.144477000,0x30,,
0.144564000,0x20,,
0.144652000,0x4D,,
0.144739000,0x48,,
0.144827000,0x7A,,
0.144914000,0x90,,
0.148845000,0x02,,
0.148932000,0xFF,,
0.149019000,0x00,,
0.149105000,0x01,,
0.153256000,0x0A,,
0.153344000,0x11,,
0.153431000,0x00,,
0.153519000,0x00,,
0.153606000,0x00,,
0.153694000,0x00,,
0.153781000,0x13,,
0.153869000,0x02,,
0.153956000,0x01,,
0.154044000,0x20,,
0.154131000,0x31,,
0.154219000,0x82,,
0.158838000,0x02,,
0.158925000,0xFF,,
0.159012000,0x00,,
0.159099000,0x01,,
0.175259000,0x0B,,
0.175347000,0x11,,
0.175434000,0x00,,
0.175521000,0x00,,
0.175609000,0x00,,
0.175697000,0x00,,
0.175784000,0x14,,
0.175872000,0x02,,
0.175959000,0x01,,
0.176047000,0x46,,
0.176134000,0x4D,,
0.176222000,0x32,,
0.176309000,0xF8,,
0.178851000,0x02,,
0.178938000,0xFF,,
